SAalphabet - 49971991 function calls (47933653 primitive calls) in 132.141 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    53009    0.094    0.000    0.094    0.000 :0(__enter__)
    53009    0.031    0.000    0.031    0.000 :0(__exit__)
        1    0.000    0.000    0.000    0.000 :0(_getdefaultlocale)
  6795734    6.797    0.000    6.797    0.000 :0(abs)
    53009    0.047    0.000    0.047    0.000 :0(acquire)
        2    0.000    0.000    0.000    0.000 :0(allocate_lock)
  4156762    4.281    0.000    4.281    0.000 :0(append)
        2    0.000    0.000    0.000    0.000 :0(charmap_decode)
        3    0.000    0.000    0.000    0.000 :0(compile)
        1    0.000    0.000  132.141  132.141 :0(exec)
       18    0.000    0.000    0.000    0.000 :0(find)
  1104266    3.062    0.000    6.125    0.000 :0(get)
8727037/6688699   12.375    0.000   16.922    0.000 :0(hash)
    10000    0.109    0.000    0.891    0.000 :0(heappop)
    43009    0.297    0.000    0.906    0.000 :0(heappush)
       21    0.000    0.000    0.000    0.000 :0(isinstance)
   366952    0.703    0.000    0.703    0.000 :0(items)
  1138284    1.453    0.000    1.453    0.000 :0(len)
     1580    0.000    0.000    0.000    0.000 :0(lower)
      701    0.000    0.000    0.000    0.000 :0(match)
        9    0.000    0.000    0.000    0.000 :0(min)
        1    0.000    0.000    0.000    0.000 :0(open)
        6    0.000    0.000    0.000    0.000 :0(ord)
    10000    0.047    0.000    0.062    0.000 :0(pop)
        2    0.000    0.000    0.016    0.008 :0(print)
        2    0.000    0.000    0.000    0.000 :0(process_time)
        1    0.000    0.000    0.000    0.000 :0(readlines)
        1    0.000    0.000    0.000    0.000 :0(setprofile)
        1    0.000    0.000    0.016    0.016 :0(sorted)
  1118208    1.609    0.000    1.609    0.000 :0(upper)
   150988    0.250    0.000    0.250    0.000 :0(values)
        1    0.266    0.266  132.141  132.141 <string>:1(<module>)
        1    0.000    0.000  131.875  131.875 __main__.py:6(main)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
    30928    0.125    0.000    0.812    0.000 action.py:102(precondition)
    21369    0.125    0.000   14.000    0.001 action.py:105(effect)
     9999    0.297    0.000   16.641    0.002 action.py:111(getSuccessors)
    43008    0.062    0.000    0.062    0.000 action.py:15(cost)
    75493    0.328    0.000   42.734    0.001 action.py:23(prepairSuccessor)
    39996    0.391    0.000    0.953    0.000 action.py:34(__init__)
    39996    0.078    0.000    0.516    0.000 action.py:42(precondition)
    32250    0.203    0.000   18.656    0.001 action.py:45(effect)
     9999    0.328    0.000   20.453    0.002 action.py:50(getSuccessors)
   101852    0.172    0.000    0.172    0.000 action.py:6(__init__)
    30928    0.234    0.000    0.656    0.000 action.py:62(__init__)
    30928    0.234    0.000    0.875    0.000 action.py:71(precondition)
