SAalphabet - 54048667 function calls (52010329 primitive calls) in 137.547 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    53009    0.109    0.000    0.109    0.000 :0(__enter__)
    53009    0.047    0.000    0.047    0.000 :0(__exit__)
        1    0.000    0.000    0.000    0.000 :0(_getdefaultlocale)
  6795734    7.094    0.000    7.094    0.000 :0(abs)
    53009    0.125    0.000    0.125    0.000 :0(acquire)
        2    0.000    0.000    0.000    0.000 :0(allocate_lock)
  4156762    4.219    0.000    4.219    0.000 :0(append)
        2    0.000    0.000    0.000    0.000 :0(charmap_decode)
        3    0.000    0.000    0.000    0.000 :0(compile)
        1    0.000    0.000  137.547  137.547 :0(exec)
       18    0.000    0.000    0.000    0.000 :0(find)
  1104266    3.062    0.000    6.047    0.000 :0(get)
10765375/8727037   13.547    0.000   17.531    0.000 :0(hash)
    10000    0.328    0.000    1.344    0.000 :0(heappop)
    43009    0.266    0.000    1.281    0.000 :0(heappush)
       21    0.000    0.000    0.000    0.000 :0(isinstance)
   517940    0.766    0.000    0.766    0.000 :0(items)
  1138284    0.984    0.000    0.984    0.000 :0(len)
     1580    0.031    0.000    0.031    0.000 :0(lower)
      701    0.000    0.000    0.000    0.000 :0(match)
        9    0.000    0.000    0.000    0.000 :0(min)
        1    0.000    0.000    0.000    0.000 :0(open)
        6    0.000    0.000    0.000    0.000 :0(ord)
    10000    0.016    0.000    0.031    0.000 :0(pop)
        2    0.000    0.000    0.000    0.000 :0(print)
        2    0.000    0.000    0.000    0.000 :0(process_time)
        1    0.000    0.000    0.000    0.000 :0(readlines)
        1    0.000    0.000    0.000    0.000 :0(setprofile)
        1    0.000    0.000    0.000    0.000 :0(sorted)
  1118208    1.516    0.000    1.516    0.000 :0(upper)
        1    0.297    0.297  137.547  137.547 <string>:1(<module>)
        1    0.000    0.000  137.250  137.250 __main__.py:6(main)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
    30928    0.141    0.000    0.875    0.000 action.py:102(precondition)
    21369    0.266    0.000   13.422    0.001 action.py:105(effect)
     9999    0.359    0.000   15.875    0.002 action.py:111(getSuccessors)
    43008    0.094    0.000    0.094    0.000 action.py:15(cost)
    75493    0.344    0.000   41.547    0.001 action.py:23(prepairSuccessor)
    39996    0.203    0.000    0.594    0.000 action.py:34(__init__)
    39996    0.125    0.000    0.781    0.000 action.py:42(precondition)
    32250    0.219    0.000   18.031    0.001 action.py:45(effect)
     9999    0.141    0.000   19.562    0.002 action.py:50(getSuccessors)
   101852    0.109    0.000    0.109    0.000 action.py:6(__init__)
    30928    0.203    0.000    0.688    0.000 action.py:62(__init__)
    30928    0.125    0.000    0.609    0.000 action.py:71(precondition)
    21874    0.141    0.000   13.312    0.001 action.py:74(effect)
     9999    0.312    0.000   15.828    0.002 action.py:80(getSuccessors)
    30928    0.266    0.000    0.656    0.000 action.py:93(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        1    0.000    0.000    0.000    0.000 communicator.py:10(loadFile)
        1    0.000    0.000    0.000    0.000 communicator.py:15(parseMap)
       26    0.000    0.000    0.000    0.000 condition.py:17(__init__)
    10988    0.016    0.000    0.109    0.000 condition.py:21(check)
       26    0.000    0.000    0.000    0.000 condition.py:4(__init__)
        2    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
   150987    0.438    0.000    0.688    0.000 entity.py:20(__init__)
   150986    0.469    0.000    1.156    0.000 entity.py:24(copyConstructor)
    75494    0.234    0.000    0.594    0.000 entity.py:27(__hash__)
    32485    0.094    0.000    0.094    0.000 entity.py:30(__eq__)
  2113857    2.812    0.000    2.812    0.000 entity.py:4(__init__)
  1962844    5.625    0.000    8.188    0.000 entity.py:40(__init__)
  1962818    5.906    0.000   14.094    0.000 entity.py:44(copyConstructor)
  1962844    4.297    0.000   14.656    0.000 entity.py:47(__hash__)
   844610    2.781    0.000    4.078    0.000 entity.py:50(__eq__)
       26    0.000    0.000    0.000    0.000 entity.py:60(__init__)
       12    0.000    0.000    0.000    0.000 enum.py:265(__call__)
       12    0.000    0.000    0.000    0.000 enum.py:515(__new__)
        6    0.000    0.000    0.000    0.000 enum.py:801(__and__)
  3397867   11.656    0.000   18.750    0.000 location.py:12(manhattanDistance)
   101852    0.688    0.000    1.000    0.000 location.py:18(fromDirection)
    61856    0.141    0.000    0.156    0.000 location.py:23(direction)
    19998    0.250    0.000    0.469    0.000 location.py:27(getNeighbors)
