SAalphabet - 43691733 function calls in 116.219 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 sre_compile.py:482(_compile_info)
        6    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
        3    0.000    0.000    0.000    0.000 sre_compile.py:542(_code)
        3    0.000    0.000    0.000    0.000 sre_compile.py:557(compile)
        3    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        3    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        3    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
        3    0.000    0.000    0.000    0.000 sre_parse.py:173(getwidth)
        3    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
       18    0.000    0.000    0.000    0.000 sre_parse.py:232(__next)
        9    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
       12    0.000    0.000    0.000    0.000 sre_parse.py:253(get)
        6    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        3    0.000    0.000    0.000    0.000 sre_parse.py:407(_parse_sub)
        3    0.000    0.000    0.000    0.000 sre_parse.py:470(_parse)
        3    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        6    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        3    0.000    0.000    0.000    0.000 sre_parse.py:828(fix_flags)
        3    0.000    0.000    0.000    0.000 sre_parse.py:844(parse)
    75494    0.438    0.000   38.031    0.001 state.py:10(__init__)
    75494    0.344    0.000    0.516    0.000 state.py:106(setUpAgents)
  1118208    6.500    0.000   18.109    0.000 state.py:114(getClosetsBox)
    32485    4.344    0.000   11.734    0.000 state.py:124(__eq__)
   199887    3.703    0.000   14.828    0.000 state.py:135(__hash__)
        1    0.000    0.000    0.016    0.016 state.py:140(__str__)
    75493    1.297    0.000   37.453    0.000 state.py:29(copyConstructor)
    75493    0.234    0.000    0.797    0.000 state.py:31(<dictcomp>)
    75493    5.156    0.000   21.422    0.000 state.py:32(<dictcomp>)
    10000    0.016    0.000    0.031    0.000 state.py:38(isGoal)
    43008    5.812    0.000   36.172    0.001 state.py:44(h)
   101852    0.688    0.000    1.312    0.000 state.py:54(free)
    75493    0.531    0.000    0.875    0.000 state.py:57(changeAgent)
    43243    0.219    0.000    0.359    0.000 state.py:65(changeBox)
     9999    0.125    0.000   46.781    0.005 state.py:71(getSuccessors)
  1161451    3.062    0.000    4.250    0.000 state.py:75(getBox)
    75494    0.156    0.000    0.203    0.000 state.py:85(getAgent)
    75494    8.172    0.000   12.688    0.000 state.py:96(setUpBoxes)
        1    0.000    0.000    0.000    0.000 strategy.py:11(reset)
    10000    0.016    0.000    0.078    0.000 strategy.py:15(fronterEmpty)
    10000    0.047    0.000    1.531    0.000 strategy.py:18(getLeaf)
    43009    0.156    0.000    3.094    0.000 strategy.py:23(addToFrontier)
    10000    0.016    0.000    0.031    0.000 strategy.py:27(addToExplored)
    75493    0.203    0.000   27.109    0.000 strategy.py:30(known)
    75493    0.266    0.000   19.922    0.000 strategy.py:33(inExplored)
    61385    0.188    0.000    6.984    0.000 strategy.py:36(inFrontier)
        1    0.000    0.000    0.000    0.000 strategy.py:6(__init__)
        6    0.000    0.000    0.000    0.000 threading.py:215(__init__)
    53009    0.125    0.000    0.203    0.000 threading.py:239(__enter__)
    53009    0.141    0.000    0.156    0.000 threading.py:242(__exit__)
    53009    0.156    0.000    0.328    0.000 threading.py:254(_is_owned)
    53009    0.234    0.000    0.562    0.000 threading.py:334(notify)
