SAalphabet - 39852583 function calls in 111.984 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    53009    0.062    0.000    0.062    0.000 :0(__enter__)
    53009    0.031    0.000    0.031    0.000 :0(__exit__)
        1    0.000    0.000    0.000    0.000 :0(_getdefaultlocale)
  6795734    7.078    0.000    7.078    0.000 :0(abs)
    53009    0.062    0.000    0.062    0.000 :0(acquire)
        2    0.000    0.000    0.000    0.000 :0(allocate_lock)
  4156762    5.391    0.000    5.391    0.000 :0(append)
        2    0.000    0.000    0.000    0.000 :0(charmap_decode)
        3    0.000    0.000    0.000    0.000 :0(compile)
        1    0.000    0.000  111.984  111.984 :0(exec)
       18    0.000    0.000    0.000    0.000 :0(find)
  1104266    3.328    0.000    4.766    0.000 :0(get)
   376218    0.562    0.000    0.734    0.000 :0(hash)
    10000    0.188    0.000    1.078    0.000 :0(heappop)
    43009    0.250    0.000    1.047    0.000 :0(heappush)
       21    0.000    0.000    0.000    0.000 :0(isinstance)
   215966    0.375    0.000    0.375    0.000 :0(items)
  1138284    1.500    0.000    1.500    0.000 :0(len)
     1580    0.000    0.000    0.000    0.000 :0(lower)
      701    0.000    0.000    0.000    0.000 :0(match)
        9    0.000    0.000    0.000    0.000 :0(min)
        1    0.000    0.000    0.000    0.000 :0(open)
        6    0.000    0.000    0.000    0.000 :0(ord)
    10000    0.031    0.000    0.078    0.000 :0(pop)
        2    0.000    0.000    0.000    0.000 :0(print)
        2    0.000    0.000    0.000    0.000 :0(process_time)
        1    0.000    0.000    0.000    0.000 :0(readlines)
        1    0.000    0.000    0.000    0.000 :0(setprofile)
        1    0.000    0.000    0.000    0.000 :0(sorted)
  1118208    1.594    0.000    1.594    0.000 :0(upper)
   301974    0.250    0.000    0.250    0.000 :0(values)
        1    0.234    0.234  111.984  111.984 <string>:1(<module>)
        1    0.000    0.000  111.750  111.750 __main__.py:6(main)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
    30928    0.125    0.000    0.688    0.000 action.py:102(precondition)
    21369    0.281    0.000   13.203    0.001 action.py:105(effect)
     9999    0.391    0.000   15.828    0.002 action.py:111(getSuccessors)
    43008    0.031    0.000    0.031    0.000 action.py:15(cost)
    75493    0.297    0.000   40.422    0.001 action.py:23(prepairSuccessor)
    39996    0.172    0.000    0.688    0.000 action.py:34(__init__)
    39996    0.047    0.000    0.516    0.000 action.py:42(precondition)
    32250    0.125    0.000   16.734    0.001 action.py:45(effect)
     9999    0.266    0.000   18.297    0.002 action.py:50(getSuccessors)
   101852    0.078    0.000    0.078    0.000 action.py:6(__init__)
    30928    0.250    0.000    0.672    0.000 action.py:62(__init__)
    30928    0.078    0.000    0.609    0.000 action.py:71(precondition)
    21874    0.188    0.000   12.781    0.001 action.py:74(effect)
     9999    0.438    0.000   15.297    0.002 action.py:80(getSuccessors)
    30928    0.141    0.000    0.750    0.000 action.py:93(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
