       107986389 function calls (90882248 primitive calls) in 316.234 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 queue.py:220(_init)
     2234    0.000    0.000    0.000    0.000 queue.py:223(_qsize)
     1912    0.000    0.000    0.047    0.000 queue.py:226(_put)
     1117    0.000    0.000    0.031    0.000 queue.py:229(_get)
        2    0.000    0.000    0.000    0.000 queue.py:27(__init__)
     1117    0.000    0.000    0.000    0.000 queue.py:90(empty)
      112    0.000    0.000    0.000    0.000 re.py:169(match)
      112    0.000    0.000    0.000    0.000 re.py:286(_compile)
       11    0.000    0.000    0.000    0.000 search.py:37(searchStatus)
        1    0.000    0.000    0.000    0.000 search.py:6(__init__)
        1    0.031    0.031  316.234  316.234 search.py:9(search)
        6    0.000    0.000    0.000    0.000 sre_compile.py:223(_compile_charset)
        6    0.000    0.000    0.000    0.000 sre_compile.py:250(_optimize_charset)
        3    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
        3    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 sre_compile.py:482(_compile_info)
        6    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
        3    0.000    0.000    0.000    0.000 sre_compile.py:542(_code)
        3    0.000    0.000    0.000    0.000 sre_compile.py:557(compile)
        3    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        3    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        3    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
        3    0.000    0.000    0.000    0.000 sre_parse.py:173(getwidth)
        3    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
       18    0.000    0.000    0.000    0.000 sre_parse.py:232(__next)
        9    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
       12    0.000    0.000    0.000    0.000 sre_parse.py:253(get)
        6    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        3    0.000    0.000    0.000    0.000 sre_parse.py:407(_parse_sub)
        3    0.000    0.000    0.000    0.000 sre_parse.py:470(_parse)
        3    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        6    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        3    0.000    0.000    0.000    0.000 sre_parse.py:828(fix_flags)
        3    0.000    0.000    0.000    0.000 sre_parse.py:844(parse)
        1    0.000    0.000    0.000    0.000 state.py:10(__init__)
     1117    0.000    0.000    0.000    0.000 state.py:23(isGoal)
     1911    0.016    0.000    0.203    0.000 state.py:29(h)
     9224    0.031    0.000    0.094    0.000 state.py:40(free)
     3090    0.000    0.000    0.016    0.000 state.py:43(changeAgent)
     1261    0.000    0.000    0.016    0.000 state.py:50(changeBox)
     1116    0.031    0.000  315.250    0.282 state.py:55(getSuccessors)
     5733    0.031    0.000    0.109    0.000 state.py:59(getClosetsBox)
     1179    0.062    0.000    0.109    0.000 state.py:69(__eq__)
     9203    0.062    0.000    0.500    0.000 state.py:80(__hash__)
        1    0.000    0.000    0.000    0.000 state.py:83(__str__)
        1    0.000    0.000    0.000    0.000 strategy.py:11(reset)
     1117    0.000    0.000    0.000    0.000 strategy.py:15(fronterEmpty)
     1117    0.000    0.000    0.141    0.000 strategy.py:18(getLeaf)
     1912    0.000    0.000    0.203    0.000 strategy.py:23(addToFrontier)
     1117    0.000    0.000    0.094    0.000 strategy.py:27(addToExplored)
     3090    0.000    0.000    0.312    0.000 strategy.py:30(known)
     3090    0.000    0.000    0.266    0.000 strategy.py:33(inExplored)
     1967    0.000    0.000    0.047    0.000 strategy.py:36(inFrontier)
        1    0.000    0.000    0.000    0.000 strategy.py:6(__init__)
        6    0.000    0.000    0.000    0.000 threading.py:215(__init__)
     3029    0.000    0.000    0.000    0.000 threading.py:239(__enter__)
     3029    0.000    0.000    0.000    0.000 threading.py:242(__exit__)
     3029    0.000    0.000    0.000    0.000 threading.py:254(_is_owned)
     3029    0.047    0.000    0.047    0.000 threading.py:334(notify)
