SAalphabet - 74573512 function calls (69176563 primitive calls) in 189.844 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 sre_compile.py:482(_compile_info)
        6    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
        3    0.000    0.000    0.000    0.000 sre_compile.py:542(_code)
        3    0.000    0.000    0.000    0.000 sre_compile.py:557(compile)
        3    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        3    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        3    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
        3    0.000    0.000    0.000    0.000 sre_parse.py:173(getwidth)
        3    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
       18    0.000    0.000    0.000    0.000 sre_parse.py:232(__next)
        9    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
       12    0.000    0.000    0.000    0.000 sre_parse.py:253(get)
        6    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        3    0.000    0.000    0.000    0.000 sre_parse.py:407(_parse_sub)
        3    0.000    0.000    0.000    0.000 sre_parse.py:470(_parse)
        3    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        6    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        3    0.000    0.000    0.000    0.000 sre_parse.py:828(fix_flags)
        3    0.000    0.000    0.000    0.000 sre_parse.py:844(parse)
    75494    0.906    0.000   42.656    0.001 state.py:10(__init__)
    75494    0.375    0.000    0.562    0.000 state.py:108(setUpAgents)
  1118208    6.344    0.000   18.516    0.000 state.py:116(getClosetsBox)
    32485    4.531    0.000   17.203    0.001 state.py:126(__eq__)
   199887   15.797    0.000   75.422    0.000 state.py:137(__hash__)
        1    0.000    0.000    0.000    0.000 state.py:140(__str__)
    75493    6.578    0.000   41.609    0.001 state.py:27(copyConstructor)
    10000    0.031    0.000    0.125    0.000 state.py:39(isGoal)
    43008    6.234    0.000   38.281    0.001 state.py:45(h)
   101852    0.500    0.000    1.453    0.000 state.py:56(free)
    75493    0.391    0.000    1.375    0.000 state.py:59(changeAgent)
    43243    0.250    0.000    0.812    0.000 state.py:67(changeBox)
     9999    0.094    0.000   52.547    0.005 state.py:73(getSuccessors)
  1161451    3.109    0.000    4.359    0.000 state.py:77(getBox)
    75494    0.312    0.000    0.625    0.000 state.py:87(getAgent)
    75494    8.141    0.000   12.953    0.000 state.py:98(setUpBoxes)
        1    0.000    0.000    0.000    0.000 strategy.py:11(reset)
    10000    0.000    0.000    0.047    0.000 strategy.py:15(fronterEmpty)
    10000    0.016    0.000    5.312    0.001 strategy.py:18(getLeaf)
    43009    0.203    0.000   18.516    0.000 strategy.py:23(addToFrontier)
    10000    0.047    0.000    4.141    0.000 strategy.py:27(addToExplored)
    75493    0.188    0.000   69.453    0.001 strategy.py:30(known)
    75493    0.156    0.000   36.000    0.000 strategy.py:33(inExplored)
    61385    0.203    0.000   33.266    0.001 strategy.py:36(inFrontier)
        1    0.000    0.000    0.000    0.000 strategy.py:6(__init__)
        6    0.000    0.000    0.000    0.000 threading.py:215(__init__)
    53009    0.156    0.000    0.266    0.000 threading.py:239(__enter__)
    53009    0.141    0.000    0.188    0.000 threading.py:242(__exit__)
    53009    0.156    0.000    0.203    0.000 threading.py:254(_is_owned)
    53009    0.266    0.000    0.469    0.000 threading.py:334(notify)
