SAalphabet - 37113867 function calls in 94.984 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    57827    0.094    0.000    0.094    0.000 :0(__enter__)
    57827    0.031    0.000    0.031    0.000 :0(__exit__)
        1    0.000    0.000    0.000    0.000 :0(_getdefaultlocale)
  7561344    7.938    0.000    7.938    0.000 :0(abs)
    57827    0.031    0.000    0.031    0.000 :0(acquire)
        2    0.000    0.000    0.000    0.000 :0(allocate_lock)
  4463428    4.766    0.000    4.766    0.000 :0(append)
        2    0.000    0.000    0.000    0.000 :0(charmap_decode)
        3    0.000    0.000    0.000    0.000 :0(compile)
        1    0.000    0.000   94.984   94.984 :0(exec)
       18    0.000    0.000    0.000    0.000 :0(find)
  1159524    2.953    0.000    4.266    0.000 :0(get)
   405145    0.750    0.000    0.844    0.000 :0(hash)
    10000    0.281    0.000    1.156    0.000 :0(heappop)
    47827    0.250    0.000    1.453    0.000 :0(heappush)
       21    0.000    0.000    0.000    0.000 :0(isinstance)
   229046    0.406    0.000    0.406    0.000 :0(items)
  1263552    1.141    0.000    1.141    0.000 :0(len)
     1887    0.000    0.000    0.000    0.000 :0(lower)
      701    0.000    0.000    0.000    0.000 :0(match)
        9    0.000    0.000    0.000    0.000 :0(min)
        1    0.000    0.000    0.000    0.000 :0(open)
        6    0.000    0.000    0.000    0.000 :0(ord)
    10000    0.000    0.000    0.000    0.000 :0(pop)
        2    0.000    0.000    0.000    0.000 :0(print)
        2    0.000    0.000    0.000    0.000 :0(process_time)
        1    0.000    0.000    0.000    0.000 :0(readlines)
        1    0.000    0.000    0.000    0.000 :0(setprofile)
        1    0.000    0.000    0.000    0.000 :0(sorted)
  1243476    1.656    0.000    1.656    0.000 :0(upper)
   324690    0.312    0.000    0.312    0.000 :0(values)
        1    0.172    0.172   94.984   94.984 <string>:1(<module>)
        1    0.000    0.000   94.812   94.812 __main__.py:6(main)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
    36212    0.141    0.000    0.734    0.000 action.py:102(precondition)
    24615    0.125    0.000    7.469    0.000 action.py:105(effect)
     9999    0.406    0.000   10.156    0.001 action.py:111(getSuccessors)
    47826    0.062    0.000    0.062    0.000 action.py:15(cost)
    81172    0.203    0.000   20.609    0.000 action.py:23(prepairSuccessor)
    39996    0.234    0.000    0.688    0.000 action.py:34(__init__)
    39996    0.094    0.000    0.453    0.000 action.py:42(precondition)
    30928    0.047    0.000    8.625    0.000 action.py:45(effect)
     9999    0.141    0.000    9.953    0.001 action.py:50(getSuccessors)
   112420    0.141    0.000    0.141    0.000 action.py:6(__init__)
    36212    0.266    0.000    1.000    0.000 action.py:62(__init__)
    36212    0.109    0.000    0.781    0.000 action.py:71(precondition)
    25629    0.281    0.000    7.859    0.000 action.py:74(effect)
     9999    0.469    0.000   10.750    0.001 action.py:80(getSuccessors)
    36212    0.266    0.000    0.812    0.000 action.py:93(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        1    0.000    0.000    0.016    0.016 communicator.py:10(loadFile)
        1    0.000    0.000    0.016    0.016 communicator.py:15(parseMap)
       26    0.000    0.000    0.000    0.000 condition.py:17(__init__)
    11024    0.016    0.000    0.016    0.000 condition.py:21(check)
       26    0.000    0.000    0.000    0.000 condition.py:4(__init__)
        2    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
   162345    0.531    0.000    0.703    0.000 entity.py:20(__init__)
   162344    0.781    0.000    1.484    0.000 entity.py:25(copyConstructor)
    81173    0.172    0.000    0.484    0.000 entity.py:28(__hash__)
    33346    0.125    0.000    0.188    0.000 entity.py:33(__eq__)
   212641    0.250    0.000    0.250    0.000 entity.py:4(__init__)
    50270    0.219    0.000    0.297    0.000 entity.py:43(__init__)
    50244    0.156    0.000    0.453    0.000 entity.py:48(copyConstructor)
  2110498    2.062    0.000    2.219    0.000 entity.py:51(__hash__)
   866996    2.609    0.000    3.578    0.000 entity.py:56(__eq__)
       26    0.000    0.000    0.000    0.000 entity.py:66(__init__)
       12    0.000    0.000    0.000    0.000 enum.py:265(__call__)
       12    0.000    0.000    0.000    0.000 enum.py:515(__new__)
        6    0.000    0.000    0.000    0.000 enum.py:801(__and__)
    50244    0.172    0.000    0.438    0.000 location.py:10(isNeighbor)
  3780672   13.266    0.000   21.203    0.000 location.py:13(manhattanDistance)
